timestamp,cpu_usage_system,cpu_usage_total,cpu_usage_user,memory_usage,memory_working_set,rx_bytes,tx_bytes
1650161565,0.01,0.014128771,0.01,1.33e-05,1.33e-05,8399.0,11694.0
1650161566,0.01,0.014128771,0.01,1.33e-05,1.33e-05,8399.0,11694.0
1650161567,0.01,0.014128771,0.01,1.35e-05,1.35e-05,8399.0,11694.0
1650161568,0.01,0.014128771,0.01,1.35e-05,1.35e-05,8399.0,11694.0
1650161569,0.005,0.002681043,0.0,1.35e-05,1.35e-05,1592.0,2712.5
1650161570,0.005,0.002681043,0.0,1.35e-05,1.35e-05,1592.0,2712.5
1650161571,0.0,0.002308412,0.0,1.35e-05,1.35e-05,1593.0,2715.0
1650161572,0.01,0.00434004,0.01,1.35e-05,1.35e-05,3184.0,5432.0
1650161573,0.01,0.00434004,0.01,1.35e-05,1.35e-05,3184.0,5432.0
1650161574,0.0,0.002798933,0.0,1.35e-05,1.35e-05,1592.5,4477.0
1650161575,0.0,0.007176938,0.0,1.35e-05,1.35e-05,4778.0,8147.0
1650161576,0.0,0.007176938,0.0,1.35e-05,1.35e-05,4778.0,8147.0
1650161577,0.0,0.005188374,0.0,1.34e-05,1.34e-05,3186.0,5828.0
1650161578,0.0,0.006832999,0.0,1.36e-05,1.36e-05,4529.0,6360.0
1650161579,0.0,0.006832999,0.0,1.36e-05,1.36e-05,4529.0,6360.0
1650161580,0.0,0.002432427,0.0,1.35e-05,1.35e-05,1989.0,2715.5
1650161581,0.0,0.007481711,0.0,1.36e-05,1.36e-05,4778.0,8146.0
1650161582,0.0,0.007481711,0.0,1.36e-05,1.36e-05,4778.0,8146.0
1650161583,0.005,0.005739109,0.0,1.35e-05,1.35e-05,3186.0,5432.0
1650161584,0.01,0.0074504,0.0,1.35e-05,1.35e-05,4779.0,12533.0
1650161585,0.0,0.002559774,0.0,1.35e-05,1.35e-05,1659.0,2716.0
1650161586,0.0,0.002559774,0.0,1.35e-05,1.35e-05,1659.0,2716.0
1650161587,0.005,0.00394246,0.005,1.35e-05,1.35e-05,2388.5,4066.0
1650161588,0.005,0.00394246,0.005,1.35e-05,1.35e-05,2388.5,4066.0
1650161589,0.005,0.004845379,0.0,1.35e-05,1.35e-05,3007.5,4889.5
1650161590,0.0,0.00545252,0.0,1.35e-05,1.35e-05,3978.0,5430.0
1650161591,0.0,0.006173473,0.01,1.51e-05,1.51e-05,4112.0,6727.0
1650161592,0.0,0.006173473,0.01,1.51e-05,1.51e-05,4112.0,6727.0
1650161593,0.005,0.005596673,0.005,1.35e-05,1.35e-05,3519.0,6140.0
1650161594,0.0,0.002673216,0.0,1.35e-05,1.35e-05,1593.0,7076.0
1650161595,0.0,0.004831831,0.0,1.35e-05,1.35e-05,3184.0,5431.0
1650161596,0.0,0.004831831,0.0,1.35e-05,1.35e-05,3184.0,5431.0
1650161597,0.005,0.002497043,0.0,1.35e-05,1.35e-05,1593.0,2715.5
1650161598,0.0,0.007494082,0.0,1.33e-05,1.33e-05,4779.0,8937.0
1650161599,0.0,0.007494082,0.0,1.33e-05,1.33e-05,4779.0,8937.0
1650161600,0.0,0.005687808,0.0,1.36e-05,1.36e-05,4199.5,5848.0
1650161601,0.0,0.005687808,0.0,1.36e-05,1.36e-05,4199.5,5848.0
1650161602,0.0,0.00238927,0.0,1.35e-05,1.35e-05,1593.0,2715.5
1650161603,0.0,0.007475863,0.0,1.35e-05,1.35e-05,4777.0,10839.0
1650161604,0.01,0.002315321,0.0,1.35e-05,1.35e-05,1659.0,2715.0
1650161605,0.01,0.002315321,0.0,1.35e-05,1.35e-05,1659.0,2715.0
1650161606,0.0,0.00283609,0.005,1.35e-05,1.35e-05,1592.5,2712.0
1650161607,0.0,0.00283609,0.005,1.35e-05,1.35e-05,1592.5,2712.0
1650161608,0.005,0.005159134,0.0,1.35e-05,1.35e-05,3185.5,5426.5
1650161609,0.01,0.010002319,0.0,1.33e-05,1.33e-05,6371.0,11653.0
1650161610,0.01,0.010002319,0.0,1.33e-05,1.33e-05,6371.0,11653.0
1650161611,0.005,0.004515283,0.0,1.35e-05,1.35e-05,3205.5,4494.0
1650161612,0.0,0.006855221,0.0,1.36e-05,1.36e-05,5174.0,8145.0
1650161613,0.0,0.006855221,0.0,1.36e-05,1.36e-05,5174.0,8145.0
1650161614,0.0,0.002625542,0.005,1.35e-05,1.35e-05,1592.5,4900.5
1650161615,0.0,0.002625542,0.005,1.35e-05,1.35e-05,1592.5,4900.5
1650161616,0.005,0.006051603,0.0,1.36e-05,1.36e-05,4014.5,6816.5
1650161617,0.0,0.002375138,0.0,1.35e-05,1.35e-05,1593.0,2716.0
1650161618,0.0,0.007999137,0.0,1.35e-05,1.35e-05,4779.0,8145.0
1650161619,0.01,0.002830852,0.01,1.35e-05,1.35e-05,1593.0,2716.0
1650161620,0.01,0.009534687,0.0,1.42e-05,1.42e-05,6073.0,11261.0
1650161621,0.01,0.009534687,0.0,1.42e-05,1.42e-05,6073.0,11261.0
1650161622,0.0,0.003748773,0.0,1.35e-05,1.35e-05,2359.5,3329.5
1650161623,0.0,0.00273912,0.0,1.35e-05,1.35e-05,1989.0,7950.0
1650161624,0.0,0.009564841,0.01,1.35e-05,1.35e-05,6768.0,10856.0
1650161625,0.0,0.004623157,0.0,1.36e-05,1.36e-05,3186.0,5431.0
1650161626,0.0,0.004623157,0.0,1.36e-05,1.36e-05,3186.0,5431.0
1650161627,0.0,0.002290238,0.0,1.36e-05,1.36e-05,1593.0,2716.0
