timestamp,cpu_usage_system,cpu_usage_total,cpu_usage_user,memory_usage,memory_working_set,rx_bytes,tx_bytes
1650161565,0.0,0.00178111,0.0,1.73e-05,1.71e-05,2212.0,2291.5
1650161566,0.0,0.00178111,0.0,1.73e-05,1.71e-05,2212.0,2291.5
1650161567,0.0,0.00178111,0.0,1.73e-05,1.71e-05,2212.0,2291.5
1650161568,0.0,0.00178111,0.0,1.73e-05,1.71e-05,2212.0,2291.5
1650161569,0.0,0.00178111,0.0,1.73e-05,1.71e-05,2212.0,2291.5
1650161570,0.0,0.00178111,0.0,1.73e-05,1.71e-05,2212.0,2291.5
1650161571,0.0,0.00178111,0.0,1.73e-05,1.71e-05,2212.0,2291.5
1650161572,0.0,0.00178111,0.0,1.74e-05,1.73e-05,2212.0,2291.5
1650161573,0.0,0.00178111,0.0,1.74e-05,1.73e-05,2212.0,2291.5
1650161574,0.0,0.00151671,0.0,1.74e-05,1.73e-05,1427.5,2006.0
1650161575,0.0,0.003773041,0.01,1.78e-05,1.76e-05,4563.0,4657.0
1650161576,0.0,0.003773041,0.01,1.78e-05,1.76e-05,4563.0,4657.0
1650161577,0.0,0.001958119,0.0,1.78e-05,1.76e-05,2141.0,2253.0
1650161578,0.0,0.004538317,0.0,1.77e-05,1.75e-05,4716.0,4887.0
1650161579,0.0,0.004538317,0.0,1.77e-05,1.75e-05,4716.0,4887.0
1650161580,0.005,0.001292406,0.005,1.76e-05,1.74e-05,1494.0,1501.5
1650161581,0.0,0.005272524,0.0,1.78e-05,1.76e-05,5588.0,6019.0
1650161582,0.0,0.005272524,0.0,1.78e-05,1.76e-05,5588.0,6019.0
1650161583,0.0,0.002274085,0.0,1.76e-05,1.74e-05,2109.0,2287.0
1650161584,0.0,0.004091114,0.01,1.78e-05,1.76e-05,4225.0,6816.0
1650161585,0.0,0.004091114,0.01,1.78e-05,1.76e-05,4225.0,6816.0
1650161586,0.005,0.001300661,0.0,1.78e-05,1.76e-05,1362.0,1503.0
1650161587,0.005,0.001300661,0.0,1.78e-05,1.76e-05,1362.0,1503.0
1650161588,0.0,0.001431216,0.0,1.76e-05,1.74e-05,1427.0,1469.0
1650161589,0.0,0.005572708,0.0,1.78e-05,1.76e-05,5860.0,6226.0
1650161590,0.0,0.001396256,0.0,1.78e-05,1.76e-05,1428.0,1437.0
1650161591,0.0,0.001396256,0.0,1.78e-05,1.76e-05,1428.0,1437.0
1650161592,0.0,0.00333988,0.0,1.76e-05,1.74e-05,3471.0,3658.5
1650161593,0.0,0.00333988,0.0,1.76e-05,1.74e-05,3471.0,3658.5
1650161594,0.005,0.002697602,0.0,1.76e-05,1.74e-05,2722.5,4060.5
1650161595,0.0,0.001332804,0.0,1.76e-05,1.74e-05,1362.0,1437.0
1650161596,0.0,0.001332804,0.0,1.76e-05,1.74e-05,1362.0,1437.0
1650161597,0.005,0.002054609,0.0,1.74e-05,1.72e-05,2108.5,2221.0
1650161598,0.005,0.002054609,0.0,1.74e-05,1.72e-05,2108.5,2221.0
