timestamp,cpu_usage_system,cpu_usage_total,cpu_usage_user,memory_usage,memory_working_set,rx_bytes,tx_bytes
1650161565,0,0.003896165,0,2.47E-05,2.45E-05,3080.5,4028.5
1650161566,0,0.003896165,0,2.47E-05,2.45E-05,3080.5,4028.5
1650161567,0,0.003896165,0,2.47E-05,2.45E-05,3080.5,4028.5
1650161568,0.005,0.013790145,0,2.57E-05,2.55E-05,12119,15011.5
1650161569,0.005,0.013790145,0,2.57E-05,2.55E-05,12119,15011.5
1650161570,0,0.004364451,0,2.57E-05,2.55E-05,4430.5,5930
1650161571,0,0.004364451,0,2.57E-05,2.55E-05,4430.5,5930
1650161572,0.005,0.006166604,0.01,2.57E-05,2.55E-05,6645.5,8533.5
1650161573,0.01,0.00419311,0,2.57E-05,2.55E-05,4814,5857
1650161574,0,0.014775462,0.02,2.67E-05,2.66E-05,13290,23367
1650161575,0,0.014775462,0.02,2.67E-05,2.66E-05,13290,23367
1650161576,0,0.007171609,0,2.59E-05,2.58E-05,6917.5,8770.5
1650161577,0,0.007171609,0,2.59E-05,2.58E-05,6917.5,8770.5
1650161578,0.005,0.004528289,0.005,2.57E-05,2.56E-05,4495,5665
1650161579,0,0.017711658,0,2.57E-05,2.56E-05,17760,22708
1650161580,0,0.017711658,0,2.57E-05,2.56E-05,17760,22708
1650161581,0.005,0.006646824,0.005,2.62E-05,2.60E-05,6646,8433.5
1650161582,0.01,0.017691495,0,2.58E-05,2.56E-05,13675,17059
1650161583,0.01,0.017691495,0,2.58E-05,2.56E-05,13675,17059
1650161584,0,0.00672832,0,2.57E-05,2.56E-05,6644.5,13586
1650161585,0.01,0.009092436,0.01,2.58E-05,2.56E-05,8860,11332
1650161586,0,0.004661994,0,2.57E-05,2.56E-05,4430,5535
1650161587,0,0.004661994,0,2.57E-05,2.56E-05,4430,5535
1650161588,0,0.007216637,0,2.57E-05,2.56E-05,6983.5,8706.5
1650161589,0,0.013735808,0.01,2.57E-05,2.56E-05,13290,16999
1650161590,0.01,0.009078715,0.01,2.58E-05,2.57E-05,8792,11332
1650161591,0.01,0.009078715,0.01,2.58E-05,2.57E-05,8792,11332
1650161592,0,0.004605905,0.005,2.57E-05,2.56E-05,4462.5,5666
1650161593,0.02,0.017193397,0,2.57E-05,2.56E-05,18108,22858
1650161594,0.01,0.00917099,0,2.57E-05,2.56E-05,8858,18699
1650161595,0,0.008927337,0,2.57E-05,2.56E-05,8861,11332
1650161596,0,0.004065559,0,2.57E-05,2.56E-05,4431,5667
1650161597,0,0.004065559,0,2.57E-05,2.56E-05,4431,5667
1650161598,0.01,0.004810281,0.005,2.57E-05,2.56E-05,4701,5936
1650161599,0.01,0.004810281,0.005,2.57E-05,2.56E-05,4701,5936
1650161600,0.01,0.009417305,0,2.57E-05,2.56E-05,8927.5,11300
1650161601,0.01,0.009417305,0,2.57E-05,2.56E-05,8927.5,11300
1650161602,0,0.008637108,0,2.57E-05,2.56E-05,8859.5,11331
1650161603,0,0.008813308,0,2.57E-05,2.56E-05,9247,11524
1650161604,0,0.008813308,0,2.57E-05,2.56E-05,9247,11524
1650161605,0.005,0.004434826,0.005,2.57E-05,2.56E-05,4430.5,7910.5
1650161606,0.01,0.009083335,0,2.57E-05,2.56E-05,8794,11332
1650161607,0,0.009423981,0,2.57E-05,2.56E-05,8859,11332
1650161608,0,0.009423981,0,2.57E-05,2.56E-05,8859,11332
1650161609,0.005,0.009287981,0,2.57E-05,2.56E-05,9199,11539
1650161610,0.005,0.009287981,0,2.57E-05,2.56E-05,9199,11539
1650161611,0.005,0.006724888,0,2.57E-05,2.56E-05,6645,8498.5
1650161612,0.01,0.018752884,0.01,2.59E-05,2.57E-05,17719,22660
1650161613,0.01,0.008646562,0,2.65E-05,2.63E-05,9245,11522
1650161614,0,0.008714521,0.01,2.57E-05,2.56E-05,8862,24584
1650161615,0,0.008714521,0.01,2.57E-05,2.56E-05,8862,24584
1650161616,0,0.009041761,0,2.57E-05,2.56E-05,8859,11296
1650161617,0,0.009041761,0,2.57E-05,2.56E-05,8859,11296
1650161618,0,0.006917101,0,2.57E-05,2.55E-05,6714,8700.5
1650161619,0,0.01370312,0.01,2.57E-05,2.56E-05,13869,17183
1650161620,0,0.01370312,0.01,2.57E-05,2.56E-05,13869,17183
1650161621,0.005,0.006909252,0.005,2.57E-05,2.56E-05,6646,8499.5
1650161622,0.005,0.006909252,0.005,2.57E-05,2.56E-05,6646,8499.5
1650161623,0.005,0.004315922,0,2.57E-05,2.56E-05,4622.5,5762
1650161624,0.01,0.018381652,0,2.57E-05,2.56E-05,17724,32453
1650161625,0,0.003896349,0,2.57E-05,2.56E-05,4430,5667
1650161626,0,0.008572111,0,2.57E-05,2.56E-05,8856,11324
1650161627,0.01,0.004215045,0,2.57E-05,2.56E-05,4430,5665
1650161628,0.01,0.004215045,0,2.57E-05,2.56E-05,4430,5665
1650161629,0,0.008843647,0.005,2.69E-05,2.67E-05,8732,11198.5
1650161630,0,0.010190786,0,2.58E-05,2.57E-05,9785,12071
1650161631,0,0.004444162,0.01,2.57E-05,2.56E-05,4430,5667
1650161632,0,0.004444162,0.01,2.57E-05,2.56E-05,4430,5667
1650161633,0.01,0.004662541,0,2.57E-05,2.56E-05,4716,5860
1650161634,0.01,0.004662541,0,2.57E-05,2.56E-05,4716,5860
1650161635,0,0.008974112,0,2.59E-05,2.57E-05,8862,16699.5
1650161636,0.01,0.018034784,0,2.57E-05,2.56E-05,17720,22664
1650161637,0.01,0.018034784,0,2.57E-05,2.56E-05,17720,22664
1650161638,0.005,0.004491484,0.005,2.57E-05,2.56E-05,4430,5665
