timestamp,cpu_usage_system,cpu_usage_total,cpu_usage_user,memory_usage,memory_working_set,rx_bytes,tx_bytes
1650161565,0.63,1.6955830275,1.05,0.0002151131629943,0.0002149045467376,1399.0,1747.5
1650161566,0.63,1.6955830275,1.05,0.0002151131629943,0.0002149045467376,1399.0,1747.5
1650161567,0.63,1.6955830275,1.05,0.0002151131629943,0.0002149045467376,1399.0,1747.5
1650161568,0.63,1.6955830275,1.05,7.405877113342285e-05,7.382035255432129e-05,1399.0,1747.5
1650161569,0.63,1.6955830275,1.05,7.405877113342285e-05,7.382035255432129e-05,1399.0,1747.5
1650161570,2.56,5.962361325,3.355,7.411837577819824e-05,7.387995719909668e-05,481.0,660.0
1650161571,2.56,5.962361325,3.355,7.411837577819824e-05,7.387995719909668e-05,481.0,660.0
1650161572,2.15,5.5022513335,3.32,7.447600364685059e-05,7.423758506774902e-05,481.0,660.0
1650161573,3.47,8.595293715,5.06,7.492303848266602e-05,7.468461990356445e-05,480.0,2043.0
1650161574,3.73,8.523369305,4.63,7.516145706176758e-05,7.492303848266602e-05,962.0,1320.0
1650161575,3.73,8.523369305,4.63,7.516145706176758e-05,7.492303848266602e-05,962.0,1320.0
1650161576,1.985,4.7870080835,2.795,7.560849189758301e-05,7.537007331848145e-05,721.5,990.0
1650161577,4.26,10.543921366,6.22,7.56382942199707e-05,7.539987564086914e-05,1575.0,2244.0
1650161578,2.79,6.805100322,3.95,7.599592208862305e-05,7.575750350952148e-05,943.0,1122.0
1650161579,2.79,6.805100322,3.95,7.599592208862305e-05,7.575750350952148e-05,943.0,1122.0
1650161580,2.0,4.761000151,2.755,7.599592208862305e-05,7.575750350952148e-05,918.5,1088.0
1650161581,2.0,4.761000151,2.755,7.599592208862305e-05,7.575750350952148e-05,918.5,1088.0
1650161582,2.375,6.207982374,3.59,7.62939453125e-05,7.605552673339844e-05,1202.5,1648.5
1650161583,3.27,8.012721532,4.59,7.62939453125e-05,7.605552673339844e-05,962.0,3060.0
1650161584,4.63,10.863200048,6.03,7.644295692443848e-05,7.620453834533691e-05,1443.0,1980.0
1650161585,4.63,10.863200048,6.03,7.644295692443848e-05,7.620453834533691e-05,1443.0,1980.0
1650161586,2.115,4.8376366625,2.655,7.644295692443848e-05,7.620453834533691e-05,481.0,660.0
1650161587,2.115,4.8376366625,2.655,7.644295692443848e-05,7.620453834533691e-05,481.0,660.0
1650161588,2.45,6.224997144,3.67,7.659196853637695e-05,7.635354995727539e-05,819.5,1120.0
1650161589,2.65,6.446665821,3.8,7.677078247070312e-05,7.653236389160156e-05,2126.0,2532.0
1650161590,2.65,6.446665821,3.8,7.677078247070312e-05,7.653236389160156e-05,2126.0,2532.0
1650161591,2.505,6.122488815,3.55,7.709860801696777e-05,7.686018943786621e-05,547.0,692.5
1650161592,2.9,7.187869561,4.19,7.715821266174316e-05,7.69197940826416e-05,1443.0,1978.0
1650161593,2.9,7.187869561,4.19,7.715821266174316e-05,7.69197940826416e-05,1443.0,1978.0
1650161594,2.335,5.7619524335,3.305,7.751584053039551e-05,7.727742195129395e-05,961.0,2188.5
1650161595,2.335,5.7619524335,3.305,7.751584053039551e-05,7.727742195129395e-05,961.0,2188.5
1650161596,2.07,4.856596628,2.72,7.75456428527832e-05,7.730722427368164e-05,721.5,989.5
1650161597,2.07,4.856596628,2.72,7.75456428527832e-05,7.730722427368164e-05,721.5,989.5
1650161598,2.19,5.456475227,3.16,7.790327072143555e-05,7.766485214233398e-05,721.5,989.0
1650161599,2.97,7.198505099,4.08,7.769465446472168e-05,7.745623588562012e-05,613.0,924.0
1650161600,4.42,11.2258819,6.52,7.811188697814941e-05,7.787346839904785e-05,3220.0,3918.0
1650161601,4.42,11.2258819,6.52,7.811188697814941e-05,7.787346839904785e-05,3220.0,3918.0
1650161602,1.88,4.6623890575,2.72,7.814168930053711e-05,7.790327072143555e-05,720.5,988.5
1650161603,2.96,7.08267256,4.04,7.829070091247559e-05,7.805228233337402e-05,481.0,1742.0
1650161604,4.21,10.163605264,5.82,7.846951484680176e-05,7.82310962677002e-05,481.0,660.0
1650161605,4.21,10.163605264,5.82,7.846951484680176e-05,7.82310962677002e-05,481.0,660.0
1650161606,2.685,6.6728543135,3.85,7.858872413635254e-05,7.835030555725098e-05,721.0,989.0
1650161607,2.685,6.6728543135,3.85,7.858872413635254e-05,7.835030555725098e-05,721.0,989.0
1650161608,1.815,4.5721774415,2.67,7.861852645874023e-05,7.838010787963867e-05,721.0,988.5
1650161609,3.21,7.94935488,4.6,7.873773574829102e-05,7.849931716918945e-05,2122.0,2904.0
1650161610,3.21,7.94935488,4.6,7.873773574829102e-05,7.849931716918945e-05,2122.0,2904.0
1650161611,2.07,5.2471325125,3.115,7.88569450378418e-05,7.861852645874023e-05,757.0,903.0
1650161612,2.62,6.630572812,3.98,7.897615432739258e-05,7.873773574829102e-05,1226.0,1452.0
1650161613,4.77,11.678194063,6.75,7.903575897216797e-05,7.87973403930664e-05,1922.0,4039.0
1650161614,4.77,11.678194063,6.75,7.903575897216797e-05,7.87973403930664e-05,1922.0,4039.0
1650161615,1.735,4.310949927,2.52,7.924437522888184e-05,7.900595664978027e-05,481.0,660.0
1650161616,3.95,9.470494305,5.28,7.924437522888184e-05,7.900595664978027e-05,1924.0,2640.0
1650161617,3.95,9.470494305,5.28,7.924437522888184e-05,7.900595664978027e-05,1924.0,2640.0
1650161618,1.92,4.5869070635,2.57,7.936358451843262e-05,7.912516593933105e-05,721.5,990.0
1650161619,2.25,5.471259821,3.19,7.936358451843262e-05,7.912516593933105e-05,481.0,660.0
1650161620,4.2,10.734612893,6.36,7.957220077514648e-05,7.933378219604492e-05,1646.0,1980.0
1650161621,4.2,10.734612893,6.36,7.957220077514648e-05,7.933378219604492e-05,1646.0,1980.0
1650161622,2.165,5.0776597415,2.84,7.960200309753418e-05,7.936358451843262e-05,994.5,1364.0
1650161623,2.165,5.0776597415,2.84,7.960200309753418e-05,7.936358451843262e-05,994.5,1364.0
1650161624,2.37,5.738211521,3.305,7.984042167663574e-05,7.960200309753418e-05,853.5,2239.0
1650161625,2.72,6.79486011,4.0,7.984042167663574e-05,7.960200309753418e-05,961.0,1320.0
1650161626,4.48,11.007236208,6.39,8.001923561096191e-05,7.978081703186035e-05,1442.0,1978.0
1650161627,4.48,11.007236208,6.39,8.001923561096191e-05,7.978081703186035e-05,1442.0,1978.0
1650161628,2.22,5.4836038205,3.185,8.0108642578125e-05,7.987022399902344e-05,742.0,1009.5
1650161629,2.22,5.4836038205,3.185,8.0108642578125e-05,7.987022399902344e-05,742.0,1009.5
1650161630,2.48,5.9190643555,3.37,8.034706115722656e-05,8.0108642578125e-05,721.5,990.0
1650161631,4.46,10.703592017,6.16,8.016824722290039e-05,7.992982864379883e-05,1159.0,1584.0
1650161632,4.46,10.703592017,6.16,8.016824722290039e-05,7.992982864379883e-05,1159.0,1584.0
1650161633,2.29,5.6127251025,3.23,8.061528205871582e-05,8.037686347961426e-05,450.5,771.0
1650161634,2.29,5.6127251025,3.23,8.061528205871582e-05,8.037686347961426e-05,450.5,771.0
1650161635,2.395,5.690809591,3.21,8.061528205871582e-05,8.037686347961426e-05,1399.5,1748.5
1650161636,4.17,10.091670598,5.89,8.07642936706543e-05,8.052587509155273e-05,1924.0,2640.0
1650161637,2.99,7.0808612,3.96,8.082389831542969e-05,8.058547973632812e-05,481.0,659.0
1650161638,2.99,7.0808612,3.96,8.082389831542969e-05,8.058547973632812e-05,481.0,659.0
1650161639,2.115,5.0311365335,2.88,8.091330528259277e-05,8.067488670349121e-05,481.0,660.0
1650161640,3.89,9.435123191,5.52,8.186697959899902e-05,8.162856101989746e-05,962.0,1320.0
1650161641,3.04,7.401819561,4.27,8.121132850646973e-05,8.097290992736816e-05,961.0,1319.0
1650161642,2.72,6.960183245,3.92,8.124113082885742e-05,8.100271224975586e-05,1442.0,1980.0
1650161643,2.72,6.960183245,3.92,8.124113082885742e-05,8.100271224975586e-05,1442.0,1980.0
1650161644,2.785,6.838456265,3.99,8.147954940795898e-05,8.124113082885742e-05,1096.0,2235.0
1650161645,2.785,6.838456265,3.99,8.147954940795898e-05,8.124113082885742e-05,1096.0,2235.0
1650161646,2.65,6.381718591,3.67,8.147954940795898e-05,8.124113082885742e-05,613.0,725.0
1650161647,2.65,6.381718591,3.67,8.147954940795898e-05,8.124113082885742e-05,613.0,725.0
1650161648,2.145,5.385096473,3.145,8.162856101989746e-05,8.13901424407959e-05,480.5,660.0
1650161649,3.2,7.838422253,4.56,8.162856101989746e-05,8.13901424407959e-05,481.0,660.0
